"","time","date","country","iso3","risk_mean","risk_sd","Risk_p_mean","Risk_p_sd","stringency_index"
"151",19120,2022-05-08,"Greece","GRC",0.148234210282139,0.0170149997110977,0.197830255281114,0.0227078602843957,25.07
"152",19120,2022-05-08,"Greenland","GRL",0,0,0,0,16.52
"153",19120,2022-05-08,"Guadeloupe","GLP",0,0,0,0,18.79
"154",19120,2022-05-08,"Guam","GUM",0,0,0,0,27.96
"155",19120,2022-05-08,"Guatemala","GTM",0.0788495379021625,0.0102477662025309,0.148102062175362,0.0192482460603511,46.76
"156",19120,2022-05-08,"Guyana","GUY",0,0,0,0,25.85
"157",19120,2022-05-08,"Honduras","HND",0,0,0,0,30.73
"158",19120,2022-05-08,"Hungary","HUN",0.186713761998637,0.0154107532188704,0.210050356619008,0.0173368806602209,11.11
"159",19120,2022-05-08,"Iceland","ISL",0,0,0,0,11.11
"160",19120,2022-05-08,"India","IND",0,0,0,0,37.04
"161",19120,2022-05-08,"Indonesia","IDN",0,0,0,0,44.96
"162",19120,2022-05-08,"Iran (Islamic Republic of)","IRN",0,0,0,0,59.1
"163",19120,2022-05-08,"Ireland","IRL",0.189524020542481,0.0119687471912459,0.213211857962067,0.0134646722817481,11.11
"164",19120,2022-05-08,"Israel","ISR",0.182779999497871,0.0135848452024994,0.221793471056754,0.0164844620828775,17.59
"165",19120,2022-05-08,"Italy","ITA",0.183102576214491,0.013961933260291,0.236383392995728,0.0180247008266086,22.54
"166",19120,2022-05-08,"Jamaica","JAM",0,0,0,0,11.11
"167",19120,2022-05-08,"Japan","JPN",0,0,0,0,45.37
"168",19120,2022-05-08,"Jordan","JOR",0,0,0,0,20.37
"169",19120,2022-05-08,"Latvia","LVA",0,0,0,0,13.89
"170",19120,2022-05-08,"Lebanon","LBN",0,0,0,0,45.33
"171",19120,2022-05-08,"Liberia","LBR",0,0,0,0,42.25
"172",19120,2022-05-08,"Lithuania","LTU",0,0,0,0,11.11
"173",19120,2022-05-08,"Luxembourg","LUX",0.143820730303722,0.0134904648158658,0.190920921682891,0.0179084890692496,24.67
"174",19120,2022-05-08,"Malta","MLT",0,0,0,0,19.44
"175",19120,2022-05-08,"Martinique","MTQ",0,0,0,0,18.79
"176",19120,2022-05-08,"Mexico","MEX",0.172696371281576,0.0223242924619321,0.209557543115612,0.0270893004027813,17.59
"177",19120,2022-05-08,"Monaco","MCO",0,0,0,0,17.59
"178",19120,2022-05-08,"Montenegro","MNE",0,0,0,0,40.46
"179",19120,2022-05-08,"Morocco","MAR",0,0,0,0,47.53
"180",19120,2022-05-08,"Mozambique","MOZ",0,0,0,0,28.7
"181",19120,2022-05-08,"Netherlands","NLD",0.202100230987186,0.0446792344282935,0.23962559993738,0.0529751416033833,15.66
"182",19120,2022-05-08,"New Caledonia","NCL",0,0,0,0,18.79
"183",19120,2022-05-08,"New Zealand","NZL",0,0,0,0,17.06
"184",19120,2022-05-08,"Nigeria","NGA",0.111421434306357,0.0207713483764816,0.173824390493537,0.0324045996512973,35.9
"185",19120,2022-05-08,"Norway","NOR",0.181831119655832,0.0130314305221711,0.204557452644653,0.0146601760852414,11.11
"186",19120,2022-05-08,"Panama","PAN",0,0,0,0,19.57
"187",19120,2022-05-08,"Paraguay","PRY",0,0,0,0,26.85
"188",19120,2022-05-08,"Peru","PER",0.10493806123928,0.0201148329937555,0.176277610010549,0.0337894053313548,40.47
"189",19120,2022-05-08,"Philippines","PHL",0,0,0,0,30.79
"190",19120,2022-05-08,"Poland","POL",0.167408045532976,0.017224735934092,0.196511381069346,0.0202191993591877,14.81
"191",19120,2022-05-08,"Portugal","PRT",0.204654991649015,0.013619011370517,0.237666927939862,0.0158158301829254,13.89
"192",19120,2022-05-08,"Puerto Rico","PRI",0.130485611051862,0.01451102996304,0.18112938791208,0.0201430177166018,27.96
"193",19120,2022-05-08,"Qatar","QAT",0,0,0,0,32.65
"194",19120,2022-05-08,"Republic of Korea","KOR",0,0,0,0,14.28
"195",19120,2022-05-08,"Republic of Moldova","MDA",0,0,0,0,11.11
"196",19120,2022-05-08,"Romania","ROU",0.154683870072802,0.037757870273183,0.174017178617169,0.0424770730939172,11.11
"197",19120,2022-05-08,"Russian Federation","RUS",0,0,0,0,23.15
"198",19120,2022-05-08,"Saint Martin","MAF",0,0,0,0,18.79
