"","day_to_inflection","time_dependent_coefficient","NonMSM","MSM","Nt_p","Risk_posterior","country","iso3","time"
"200",0.889138137608568,0.353416302135956,0,0,0,0.186383165961679,"Romania","ROU",19120
"201",0,0,0,0,0,0,"Russian Federation","RUS",19120
"202",0,0,0,0,0,0,"Saudi Arabia","SAU",19120
"203",0,0,0,0,0,0,"Sudan","SDN",19120
"204",0,0,0,0,0,0,"Singapore","SGP",19120
"205",0,0,0,0,0,0,"El Salvador","SLV",19120
"206",0,0,0,0,0,0,"San Marino","SMR",19120
"207",0,0,0,0,0,0,"Serbia","SRB",19120
"208",0,0,0,0,0,0,"Slovakia","SVK",19120
"209",0.891037153406006,0.442987116083143,0,0,0,0.200103640423372,"Slovenia","SVN",19120
"210",0.848567960228722,0.502813076922395,0,0,0,0.202707155572667,"Sweden","SWE",19120
"211",0,0,0,0,0,0,"Thailand","THA",19120
"212",0,0,0,0,0,0,"T鐪塺kiye","TUR",19120
"213",0,0,0,0,0,0,"Ukraine","UKR",19120
"214",0,0,0,0,0,0,"Uruguay","URY",19120
"215",0.804770213263324,0.61405730768929,0,0,0,0.212824128142892,"United States of America","USA",19120
"216",0,0,0,0,0,0,"Venezuela (Bolivarian Republic of)","VEN",19120
"217",0,0,0,0,0,0,"Viet Nam","VNM",19120
"218",0,0,0,0,0,0,"South Africa","ZAF",19120
"219",0,0,0,0,0,0,"Aruba","ABW",19121
"220",0,0,0,0,0,0,"Andorra","AND",19121
"221",0,0,0,0,0,0,"United Arab Emirates","ARE",19121
"222",0.331927435490533,0.2475210375731,0,0,0,0.086917270959545,"Argentina","ARG",19121
"223",0.883502320493771,0.514327152914964,0,0,0,0.20967442101131,"Australia","AUS",19121
"224",0.859358624208192,0.508497777609323,0,0,0,0.205178460272627,"Austria","AUT",19121
"225",0.87004660713204,0.770499421895623,0,0,0,0.246081904354149,"Belgium","BEL",19121
"226",0,0,0,0,0,0,"Benin","BEN",19121
"227",0,0,0,0,0,0,"Bulgaria","BGR",19121
"228",0,0,0,0,0,0,"Bahrain","BHR",19121
"229",0,0,0,0,0,0,"Bahamas","BHS",19121
"230",0,0,0,0,0,0,"Bosnia and Herzegovina","BIH",19121
"231",0,0,0,0,0,0,"Bermuda","BMU",19121
"232",0.475101823806532,0.151817928243534,0,0,0,0.09403796280751,"Bolivia (Plurinational State of)","BOL",19121
"233",0.769025619880956,0.646047287302596,0,0,0,0.212260936077533,"Brazil","BRA",19121
"234",0,0,0,0,0,0,"Barbados","BRB",19121
"235",0,0,0,0,0,0,"Central African Republic","CAF",19121
"236",0.881881577101994,0.40721524930898,0,0,0,0.193364523961646,"Canada","CAN",19121
"237",0.848722383695585,0.666823843502298,0,0,0,0.227331934079682,"Switzerland","CHE",19121
"238",0.708995168205635,0.388938564429694,0,0,0,0.164690059895299,"Chile","CHL",19121
"239",0,0,0,0,0,0,"China","CHN",19121
"240",0,0,0,0,0,0,"Cameroon","CMR",19121
"241",0,0,0,0,0,0,"Democratic Republic of the Congo","COD",19121
"242",0,0,0,0,0,0,"Congo","COG",19121
"243",0.185939321852872,0.212868930621671,0,0,0,0.0598212378711814,"Colombia","COL",19121
"244",0,0,0,0,0,0,"Costa Rica","CRI",19121
"245",0,0,0,0,0,0,"Cuba","CUB",19121
"246",0,0,0,0,0,0,"Cura鑾絘o","CUW",19121
"247",0,0,0,0,0,0,"Cyprus","CYP",19121
"248",0.89546806765476,0.282315406475935,0,0,0,0.176667521119604,"Czechia","CZE",19121
"249",0.858186961153853,0.925732792316453,0,0,0,0.267587963020546,"Germany","DEU",19121
"250",0.86385787514318,0.549336488317187,0,0,0,0.211979154519055,"Denmark","DNK",19121
"251",0,0,0,0,0,0,"Dominican Republic","DOM",19121
"252",0,0.158829195757708,0,0,0,0.0238243793636562,"Ecuador","ECU",19121
"253",0,0,0,0,0,0,"Egypt","EGY",19121
"254",0.864011065890759,0.731763173297677,0,0,0,0.239366135878265,"Spain","ESP",19121
"255",0,0,0,0,0,0,"Estonia","EST",19121
"256",0,0,0,0,0,0,"Finland","FIN",19121
